Sensor: 2S_4289_SN10_smalledge
Date:6/21/2018 11:38:01.7830 AM
Step Size X and Y: 251.6130 and 194.6490
Step Number X and Y: 31 and 37
Calibration X and Y: 11.4500 and 10.8800
Angle: -0.006000
f/e: 55=fiducial, 33=edge
edge: 0=top, 1=left, 2=right, 3=bottom 

edge	filx	fily	pixx	pixy	psx	psy	f/e
1	0	5	8.000000	0.000000	68276	62318	33
0	16	0	0.000000	9.000000	64244	61369	33
0	17	0	0.000000	8.000000	63993	61371	33
0	18	0	0.000000	8.000000	63741	61372	33
2	31	5	311.000000	0.000000	60476	62365	33
1	0	6	8.000000	0.000000	68277	62513	33
0	19	0	0.000000	8.000000	63489	61374	33
0	1	0	0.000000	6.000000	68018	61347	33
0	20	0	0.000000	9.000000	63238	61375	33
0	21	0	0.000000	8.000000	62986	61377	33
2	31	6	311.000000	0.000000	60477	62560	33
1	0	7	8.000000	0.000000	68278	62708	33
0	22	0	0.000000	9.000000	62735	61378	33
0	23	0	0.000000	8.000000	62483	61380	33
0	24	0	0.000000	9.000000	62231	61381	33
2	31	7	312.000000	0.000000	60478	62755	33
1	0	8	7.000000	0.000000	68279	62902	33
0	25	0	0.000000	8.000000	61980	61383	33
0	26	0	0.000000	9.000000	61728	61384	33
0	27	0	0.000000	8.000000	61477	61386	33
2	31	8	314.000000	0.000000	60480	62949	33
1	0	9	8.000000	0.000000	68281	63097	33
0	28	0	0.000000	9.000000	61225	61387	33
0	29	0	0.000000	9.000000	60973	61389	33
0	2	0	0.000000	8.000000	67767	61348	33
0	30	0	0.000000	9.000000	60722	61390	33
2	31	9	312.000000	0.000000	60481	63144	33
0	31	0	313.000000	9.000000	60470	61392	33
1	0	10	6.000000	0.000000	68282	63291	33
1	0	1	9.000000	0.000000	68271	61540	33
2	31	10	313.000000	0.000000	60482	63338	33
1	0	11	8.000000	0.000000	68283	63486	33
2	31	11	313.000000	0.000000	60483	63533	33
1	0	12	8.000000	0.000000	68284	63681	33
0	3	0	0.000000	7.000000	67515	61350	33
2	31	12	311.000000	0.000000	60484	63728	33
1	0	13	8.000000	0.000000	68285	63875	33
2	31	13	312.000000	0.000000	60485	63922	33
1	0	14	7.000000	0.000000	68286	64070	33
2	31	14	313.000000	0.000000	60487	64117	33
1	0	15	8.000000	0.000000	68288	64265	33
0	4	0	0.000000	8.000000	67264	61351	33
2	31	15	311.000000	0.000000	60488	64312	33
1	0	16	7.000000	0.000000	68289	64459	33
2	31	16	312.000000	0.000000	60489	64506	33
1	0	17	8.000000	0.000000	68290	64654	33
2	31	17	311.000000	0.000000	60490	64701	33
1	0	18	6.000000	0.000000	68291	64849	33
